X|Y
935|8
850|4
263|2
990|7
764|4
823|5
479|1
144|1
880|3
741|10
406|10
374|8
809|1
14|6
549|4
465|1
688|5
268|10
390|9
962|10
110|5
239|10
25|7
905|9
335|8
226|9
64|10
843|10
931|7
664|4
119|6
46|2
311|0
118|7
240|1
138|8
464|6
686|5
429|8
760|9
906|2
670|6
853|1
630|7
961|6
33|4
222|5
455|7
875|3
101|5
376|10
923|8
367|10
407|0
194|4
971|1
93|7
217|10
654|10
994|9
51|0
249|5
805|2
210|9
849|1
212|8
221|9
336|3
807|2
2|9
879|4
133|2
256|8
112|2
887|10
134|0
366|0
602|3
16|5
271|2
129|0
538|6
763|1
487|1
796|7
525|5
111|9
515|7
968|3
44|9
533|10
469|4
987|10
62|0
867|7
436|6
110|10
729|7
75|7
329|1
151|9
129|1
639|4
599|10
729|8
390|5
543|9
464|4
619|8
101|6
873|1
666|10
738|8
440|3
909|7
423|3
847|5
408|7
747|6
320|1
320|6
261|10
976|5
703|2
68|7
851|1
95|1
98|6
831|5
569|2
600|0
575|8
686|5
420|1
894|5
963|10
888|6
991|0
614|4
360|4
591|1
217|8
672|2
229|7
358|1
376|8
780|1
587|4
826|3
865|6
997|8
628|9
658|10
26|8
951|9
849|10
29|4
279|2
943|4
359|5
185|0
579|2
410|10
145|1
995|10
93|0
220|8
429|6
349|7
378|2
738|4
795|5
610|9
904|1
159|0
772|2
50|9
83|10
453|4
434|10
621|7
424|7
220|4
116|8
440|5
290|1
694|10
498|9
683|8
46|4
404|3
56|9
209|0
968|4
785|3
782|2
296|4
122|5
509|0
179|6
389|2
720|8
512|3
853|8
825|10
73|5
882|6
446|0
470|0
882|1
589|5
587|6
726|6
427|10
117|4
21|6
175|5
471|9
90|5
864|6
249|1
603|6
536|6
405|1
763|4
226|5
797|5
78|2
648|8
543|1
198|8
359|5
834|10
241|2
149|1
202|4
616|2
778|2
77|10
974|2
505|10
772|7
778|9
459|9
946|10
658|9
639|10
884|5
323|10
450|2
480|1
646|7
815|4
605|4
360|0
75|8
472|4
38|7
377|0
78|4
884|10
629|1
519|9
473|6
567|9
460|0
667|9
329|3
487|9
154|8
461|0
830|1
731|5
516|1
176|10
253|0
449|7
535|8
162|9
381|5
396|4
793|6
695|5
53|9
662|10
67|5
96|5
694|8
290|6
741|4
987|10
894|9
341|2
596|1
144|10
317|5
715|10
401|10
609|2
317|1
385|8
810|10
832|5
686|2
934|10
95|8
686|10
520|6
18|5
316|5
973|2
349|3
196|7
140|3
79|2
864|4
519|1
855|8
38|8
344|10
134|9
385|9
166|2
851|2
828|9
738|2
44|7
373|6
736|10
992|3
625|7
770|4
239|7
244|8
988|4
925|7
376|3
969|10
451|9
787|7
796|4
514|6
428|8
836|2
820|3
141|9
53|4
492|10
567|5
728|1
871|8
291|1
781|1
279|2
927|7
150|8
93|6
836|3
905|7
952|5
424|0
405|0
382|8
395|3
383|1
28|3
953|5
859|1
343|10
140|2
293|0
712|7
777|2
459|7
5|9
19|1
220|4
561|2
540|9
113|6
243|4
124|4
244|0
654|6
468|9
113|1
611|7
16|8
527|10
247|9
298|2
1|6
361|9
584|3
191|6
684|10
536|1
69|5
557|8
805|8
567|8
399|0
44|7
396|10
259|5
365|0
353|1
750|3
643|10
790|1
752|9
136|5
360|0
346|8
179|10
475|10
646|7
830|2
64|2
37|7
206|4
810|0
907|3
323|0
527|4
834|6
484|8
37|4
195|10
365|4
886|0
339|10
127|4
447|5
761|6
916|7
347|6
508|2
376|7
273|8
744|1
80|6
616|6
558|2
328|4
81|1
676|5
313|4
617|7
170|6
359|7
43|7
629|5
281|6
810|10
76|0
652|10
372|6
820|8
163|10
146|0
694|9
35|7
68|2
797|3
375|10
392|5
33|9
157|9
460|10
380|5
781|7
587|1
542|2
407|5
665|5
255|4
26|1
511|2
396|8
120|8
793|4
720|4
219|7
292|9
204|7
138|1
462|1
920|2
89|7
990|10
683|5
726|5
563|1
297|8
871|4
728|2
178|10
520|5
124|3
811|3
242|2
26|7
567|5
377|9
822|7
132|8
905|9
67|1
407|4
538|7
787|6
843|6
75|9
995|2
657|5
460|1
696|7
352|8
899|2
655|8
186|9
443|2
932|8
851|0
530|1
311|2
165|2
957|5
354|3
916|8
866|4
256|1
650|3
281|8
640|2
629|4
95|8
656|8
606|2
157|9
674|2
737|9
345|9
42|9
83|0
971|0
789|10
271|9
215|10
426|9
654|9
509|0
558|10
657|4
494|4
824|3
415|10
464|4
705|1
161|0
425|7
475|7
348|3
147|9
882|5
751|5
998|5
133|6
527|5
108|8
247|5
125|7
460|4
144|3
51|1
968|4
884|6
428|9
985|3
833|2
956|5
738|9
194|5
510|2
478|8
900|7
509|4
92|0
517|6
989|7
220|3
361|9
51|0
506|4
903|9
688|10
292|7
8|8
441|1
903|2
744|4
782|5
374|6
410|0
583|0
199|8
566|5
75|4
516|6
782|7
286|8
696|9
121|9
998|2
403|1
813|5
571|5
773|5
203|2
521|9
512|6
46|0
140|0
823|5
531|7
152|7
914|9
143|8
953|5
326|9
402|2
757|9
607|4
519|5
545|8
725|7
306|9
835|7
377|0
689|5
426|1
315|9
27|10
485|9
990|4
801|10
591|9
738|3
597|0
174|7
644|8
793|9
151|6
248|10
586|0
195|1
451|0
428|5
422|2
420|3
793|8
942|9
893|7
722|0
531|2
574|3
678|5
538|7
321|6
470|2
350|8
362|8
790|10
658|10
624|4
196|7
285|3
305|8
964|3
789|4
721|4
706|3
324|7
357|7
956|8
294|4
587|1
556|10
917|6
838|6
977|5
297|2
294|0
354|1
671|7
765|4
219|7
847|3
277|8
712|8
140|4
630|1
245|9
51|3
926|10
231|8
238|10
102|0
338|6
102|7
789|10
5|2
951|8
416|2
957|10
488|7
204|10
328|4
661|4
929|0
667|1
237|9
756|8
935|0
427|2
956|2
856|0
806|6
190|7
897|4
9|0
581|4
109|9
291|5
656|7
536|8
910|7
871|2
479|8
197|4
338|1
748|2
663|7
735|4
14|2
809|5
581|4
775|10
179|3
876|9
918|10
846|6
527|6
88|5
685|6
189|1
488|2
958|5
6|3
392|4
457|3
976|4
309|5
740|9
11|9
669|4
709|5
63|3
121|10
314|7
415|2
514|10
706|4
654|1
376|4
226|9
980|3
489|2
465|2
382|9
718|6
934|8
775|7
821|8
845|10
780|3
696|3
894|9
538|1
540|7
79|5
114|9
848|0
924|8
207|8
549|9
168|2
874|5
452|8
696|1
734|3
500|9
920|1
456|8
464|0
525|2
467|6
59|9
473|8
826|10
740|4
405|0
836|4
763|0
592|3
46|1
352|6
554|1
957|0
956|1
32|7
418|4
787|2
784|2
746|10
986|10
383|6
459|6
384|6
699|1
895|10
136|8
880|10
121|5
550|2
541|6
745|2
854|3
774|0
305|0
689|7
434|8
388|8
253|3
354|7
282|2
959|3
32|1
429|10
784|9
246|0
68|3
608|1
457|0
688|9
250|0
411|0
239|7
222|8
143|0
296|8
835|3
326|9
612|9
838|10
242|5
897|4
676|2
226|8
307|6
62|4
971|8
900|9
641|2
437|10
507|8
995|0
964|5
687|10
804|6
326|8
418|6
307|2
188|6
484|8
869|3
307|3
825|2
936|7
575|0
991|6
570|6
137|8
248|6
208|4
662|5
944|1
867|7
94|5
741|8
52|3
386|4
619|10
40|9
192|1
741|9
572|10
490|3
890|3
310|5
216|0
985|3
764|1
936|7
712|3
720|9
406|3
565|3
794|5
389|4
546|7
367|10
267|4
525|5
477|7
822|1
779|7
936|5
379|3
423|5
576|0
759|3
16|2
566|4
593|9
302|6
200|2
235|5
583|6
511|3
670|8
345|10
781|4
989|7
757|10
471|7
750|2
173|5
737|2
500|8
938|2
657|8
536|0
859|0
967|1
49|10
422|0
862|2
236|10
724|1
9|2
517|3
382|7
632|0
682|10
934|9
675|7
16|7
544|0
421|8
17|0
739|8
548|4
17|4
832|8
440|10
109|2
536|1
246|2
634|3
258|8
273|5
80|6
982|5
470|6
249|9
307|3
847|10
669|1
777|10
95|0
388|6
565|6
57|7
9|10
84|2
865|7
660|6
579|5
916|1
941|8
235|0
922|3
486|9
47|4
700|1
920|4
577|8
33|10
951|2
16|5
601|3
770|2
951|6
306|1
577|2
580|3
693|6
339|8
773|6
809|2
512|1
54|5
447|1
858|3
348|1
787|9
977|9
406|9
30|5
279|10
502|7
364|3
963|8
442|6
696|2
676|9
87|6
302|9
730|3
84|1
157|4
728|6
157|10
324|6
109|5
5|1
455|4
779|5
104|4
89|2
441|2
570|7
524|8
105|6
91|0
567|5
611|1
803|9
884|5
12|6
423|4
797|6
742|1
926|8
585|3
173|8
389|10
142|2
308|4
504|4
64|2
445|2
431|4
495|4
369|1
966|4
738|3
507|10
631|9
468|3
138|1
6|4
340|6
389|9
450|5
440|5
997|10
139|9
328|4
970|9
490|3
181|5
991|6
298|5
502|10
800|9
333|3
287|6
373|6
954|1
204|9
558|9
698|2
27|8
965|7
448|3
851|4
838|1
689|6
142|7
310|10
258|3
157|10
808|6
75|6
612|7
596|7
547|6
945|8
556|6
809|0
718|5
608|8
936|10
111|1
673|3
363|10
662|2
45|9
660|9
662|10
990|6
988|5
108|6
100|0
227|4
764|8
571|8
704|9
226|9
383|7
474|6
602|10
154|8
25|5
107|7
425|4
118|1
356|2
351|4
803|7
533|3
356|7
99|7
739|7
326|7
307|1
829|0
23|1
663|5
693|1
952|2
528|3
565|2
338|2
436|8
237|7
644|6
190|2
673|10
405|6
755|0
904|9
460|3
439|9
4|6
210|3
770|4
591|1
818|1
191|8
333|5
468|3
268|1
883|10
540|7
320|10
397|9
401|9
116|9
360|5
632|7
833|2
722|10
940|4
604|9
688|1
320|2
244|1
119|4
382|2
523|2
428|6
141|9
392|9
190|6
650|7
710|8
953|10
568|2
501|2
143|4
322|2
634|7
886|0
974|5
496|0
199|2
986|6
517|8
506|10
701|6
425|7
500|7
84|2
31|9
299|3
281|0
550|3
172|4
579|7
562|7
115|8
116|9
793|4
843|8
555|5
778|0
559|7
435|3
753|1
769|10
304|3
460|0
356|4
449|1
794|1
214|3
705|9
881|5
647|9
169|6
142|9
833|3
824|3
583|0
545|5
611|4
172|8
720|5
296|4
273|9
921|8
834|10
138|1
940|6
283|0
129|10
255|2
728|2
848|5
779|3
402|10
145|7
647|9
642|4
384|6
77|7
813|10
412|1
767|8
711|4
465|5
335|7
2|9
748|1
650|7
714|10
870|5
814|1
407|8
991|3
844|6
506|3
330|4
345|4
591|8
579|2
807|7
915|5
780|10
47|0
641|1
16|7
951|1
451|2
0|7
207|6
903|2
309|10
895|2
95|4
369|10
84|4
680|5
169|10
405|0
312|10
439|3
93|10
1|1
488|3
135|1
231|9
696|8
9|7
712|0
836|5
880|1
710|6
489|2
234|1
91|6
105|1
376|5
140|4
792|6
656|2
146|10
543|1
8|9
665|9
450|2
739|5
643|3
941|2
630|6
453|10
88|3
143|1
603|1
359|6
322|6
253|2
660|4
254|1
615|8
738|9
291|9
868|0
896|10
210|4
621|8
193|8
302|6
55|10
506|3
115|6
511|3
608|10
540|1
369|0
135|5
881|6
430|9
559|5
176|10
977|7
17|1
69|9
268|0
40|3
971|0
518|6
643|4
785|8
433|6
84|6
549|10
630|8
284|2
317|1
523|1
997|3
549|2
400|5
649|9
697|10
67|10
715|4
747|6
59|3
88|3
118|6
626|7
56|9
682|4
758|10
122|2
724|0
718|2
167|0
975|7
535|5
801|8
170|4
129|5
750|4
789|1
343|0
278|6
65|8
729|4
642|9
508|1
523|7
56|5
879|7
170|9
161|5
791|4
915|1
690|9
233|1
2|8
879|0
250|0
483|0
392|5
183|2
566|0
429|10
329|3
426|3
277|5
585|1
122|5
689|8
183|0
823|3
47|8
70|6
886|7
792|4
335|4
566|1
8|7
205|5
577|4
757|4
248|9
377|7
995|9
791|7
750|3
778|8
154|3
954|0
24|6
554|3
651|5
973|0
1|5
385|10
106|4
542|3
429|3
984|7
995|0
728|2
95|4
943|0
918|3
422|8
469|5
594|1
517|1
652|2
76|6
581|9
445|0
987|10
242|2
267|4
948|5
717|6
325|5
278|7
76|3
139|3
111|9
108|2
460|2
321|7
123|6
366|8
462|3
474|4
872|4
92|1
826|2
311|10
41|9
855|3
151|5
728|1
991|3
405|5
50|8
306|10
839|4
31|2
875|6
569|7
255|8
473|1
823|1
124|2
63|0
133|3
843|3
381|6
645|10
86|10
600|9
939|4
22|1
202|1
454|10
94|2
125|5
964|0
51|7
946|2
443|9
508|6
391|0
436|10
362|2
930|3
281|2
456|4
35|2
634|9
251|9
302|10
421|7
490|8
89|0
392|4
429|2
658|3
255|8
821|10
813|8
391|0
491|5
800|8
352|7
514|9
397|5
184|4
326|0
224|9
917|0
59|4
542|7
785|5
238|9
102|2
672|3
272|3
835|8
782|0
589|3
363|6
180|2
606|3
825|5
935|5
28|9
970|5
577|9
576|2
856|3
555|7
179|4
38|7
57|1
616|3
20|3
489|8
339|0
206|9
348|2
940|2
60|5
151|0
721|9
792|2
866|1
881|8
983|5
382|1
405|10
103|9
309|5
139|5
749|2
810|6
983|10
664|7
178|5
710|8
805|9
228|5
603|10
387|2
751|4
130|4
746|2
971|0
400|9
33|9
616|2
943|5
226|9
579|10
959|1
144|7
763|5
243|1
327|5
651|2
841|1
654|10
457|5
271|0
255|3
358|1
805|4
737|1
49|0
448|6
992|6
905|2
504|6
359|6
384|8
848|1
807|7
666|9
230|10
462|2
818|1
301|0
326|0
974|4
75|1
174|5
164|6
560|1
346|1
628|9
721|7
441|0
168|10
911|9
160|6
103|0
210|5
419|3
739|8
271|8
288|10
243|4
50|1
585|6
860|8
157|7
369|0
437|0
301|1
640|10
491|9
99|3
211|0
653|2
1000|4
484|1
315|1
482|6
916|7
271|10
657|1
396|8
379|2
378|6
456|2
269|0
476|7
231|4
577|4
154|0
99|10
684|1
827|5
423|8
232|9
62|8
838|6
428|8
703|8
586|7
487|3
80|4
924|6
514|0
922|9
819|8
693|9
150|9
972|1
177|7
995|2
827|3
129|3
433|0
699|1
206|6
151|10
264|9
932|5
89|1
569|6
565|6
877|5
532|4
939|7
805|0
601|9
800|8
115|6
153|6
580|2
596|9
947|1
576|1
804|1
888|4
901|8
898|5
270|6
670|6
585|7
484|9
176|0
412|4
633|2
697|9
39|6
910|6
707|5
50|3
942|7
918|4
20|5
837|5
318|4
863|4
878|7
100|10
137|3
997|4
792|7
275|5
619|6
91|10
452|3
935|3
758|6
777|7
888|8
840|5
527|0
67|2
726|4
413|8
799|2
900|8
29|9
197|2
857|3
255|0
467|0
940|0
721|5
280|3
843|5
517|7
650|6
697|1
247|0
500|5
456|9
983|2
600|7
358|8
167|5
766|4
291|1
395|0
166|0
798|9
877|3
662|3
693|3
275|3
419|10
20|8
9|10
933|7
662|2
615|2
229|0
622|4
729|4
281|10
916|6
872|6
470|5
223|4
309|7
533|10
406|9
104|9
523|0
989|10
574|5
608|10
289|9
700|4
493|1
344|1
655|4
882|5
267|4
728|10
305|10
153|3
783|8
921|3
824|0
413|9
327|10
143|10
671|0
302|7
928|4
414|6
754|6
597|0
835|9
351|3
702|3
653|8
928|7
367|10
307|8
860|2
897|10
185|8
99|4
131|7
742|4
781|8
969|2
921|10
670|5
227|1
228|5
430|4
380|5
599|4
474|4
481|1
887|0
597|10
966|9
72|9
910|7
512|3
888|1
390|10
305|8
55|6
140|2
350|3
583|6
146|7
883|5
797|2
499|1
646|5
320|2
59|10
462|0
214|4
590|2
501|2
132|1
444|9
439|10
439|6
392|7
38|0
204|8
972|5
913|0
775|5
195|8
692|0
641|0
231|3
319|5
105|2
515|6
313|9
66|2
305|0
466|4
610|8
345|8
909|6
137|10
923|5
367|7
168|3
19|6
229|3
216|2
603|0
173|8
375|1
811|10
384|0
261|10
638|8
608|0
677|0
669|1
49|0
426|1
389|7
560|1
485|4
210|2
645|10
308|0
677|6
678|1
276|8
620|9
428|2
523|1
120|9
116|4
509|1
623|3
796|3
851|4
996|8
366|3
302|6
40|2
508|8
704|3
338|7
2|3
687|0
928|1
855|1
685|9
152|7
798|1
76|8
926|1
659|4
467|3
270|4
51|7
832|1
895|2
872|0
368|4
320|10
756|6
97|1
9|0
679|2
174|10
366|5
978|7
274|9
381|1
187|5
410|1
985|6
278|7
706|6
819|7
664|6
115|2
712|2
965|0
106|2
933|6
494|9
694|9
185|7
388|9
626|5
883|0
901|10
494|2
115|7
451|6
64|0
670|4
12|5
537|10
741|9
229|9
894|10
531|5
704|8
97|9
677|6
493|3
679|5
656|10
152|6
913|8
55|9
658|0
517|2
872|7
890|7
76|2
328|7
338|3
51|4
228|8
658|8
412|6
80|3
454|7
458|9
877|1
457|7
121|5
763|7
18|10
413|1
36|6
562|8
845|0
810|1
986|9
652|9
911|4
575|8
670|3
467|10
372|5
836|0
864|3
339|7
785|8
614|9
733|7
372|10
116|7
777|1
227|10
349|0
849|5
987|10
560|4
382|8
46|1
504|2
841|2
109|6
625|4
192|3
952|1
220|6
844|7
733|3
110|5
47|6
857|10
602|10
790|1
468|7
603|10
137|8
4|7
753|8
566|0
858|6
494|9
799|8
708|2
177|9
106|2
673|6
620|9
516|5
428|6
937|9
280|3
986|6
993|5
463|4
141|2
616|6
306|8
881|8
728|5
647|8
205|3
639|3
703|4
943|5
135|10
998|10
515|2
710|8
330|10
779|1
575|5
596|7
965|9
727|10
690|6
292|8
827|6
535|0
25|1
148|6
686|0
204|0
768|4
293|2
256|10
859|2
707|0
208|4
33|8
833|5
104|7
888|9
757|10
885|8
760|3
574|10
243|6
803|8
709|4
48|10
396|6
979|6
320|10
55|8
761|0
207|4
889|9
849|7
933|3
721|10
376|10
559|9
201|9
301|3
181|7
76|10
985|2
752|2
122|8
41|6
285|6
270|8
164|2
866|9
5|4
477|5
40|2
950|2
611|5
792|0
630|10
308|10
808|7
563|9
74|5
538|5
979|3
533|2
805|1
163|8
556|6
413|8
357|1
904|3
679|3
339|5
300|5
973|3
543|9
574|7
9|10
684|1
456|5
926|3
628|10
249|9
698|0
390|5
395|1
553|4
25|4
841|8
526|5
456|8
44|7
919|4
197|10
526|5
970|1
171|1
546|8
641|0
215|1
644|10
885|3
434|10
210|1
848|8
662|6
764|1
157|10
470|0
38|5
75|1
182|0
571|4
588|1
932|3
417|4
461|6
414|10
323|6
398|0
121|10
6|8
737|10
64|9
46|9
366|1
108|8
805|4
308|10
88|9
783|4
390|7
841|6
31|10
160|7
225|8
764|2
815|6
302|8
147|10
693|4
382|10
566|0
144|8
42|1
586|0
403|9
560|8
312|1
766|3
216|5
927|6
871|10
145|8
188|2
631|3
198|4
185|1
818|10
872|9
871|0
472|8
562|10
297|1
68|10
100|4
743|3
498|9
365|5
687|2
240|10
291|1
71|9
325|3
461|7
631|5
313|10
156|9
580|9
827|5
981|5
172|6
320|0
804|3
729|3
446|10
860|4
137|5
750|10
898|5
473|7
367|7
498|4
111|8
661|2
83|9
879|4
912|2
201|8
751|4
78|10
913|1
869|0
646|8
832|0
592|9
787|6
217|9
564|0
556|4
483|8
793|10
374|2
228|6
750|9
137|4
513|7
92|8
372|6
10|8
244|10
700|9
775|2
143|8
163|7
579|2
675|9
753|2
961|7
41|5
779|3
237|7
270|1
239|5
684|0
530|3
397|5
939|7
902|7
40|0
331|10
720|1
648|8
854|4
592|4
583|8
385|2
387|10
601|5
919|10
529|1
385|4
528|3
361|6
498|5
908|7
6|9
903|8
450|2
235|2
526|1
287|10
153|3
161|2
616|5
676|1
424|3
737|5
493|1
490|10
215|7
165|9
853|10
22|6
44|3
587|2
164|9
644|2
40|8
150|9
170|0
944|4
529|2
613|6
652|9
899|0
841|10
969|4
221|1
621|7
888|7
174|7
850|3
615|6
813|2
840|9
638|2
523|10
171|4
350|10
610|7
70|9
387|3
135|6
16|1
535|3
700|8
846|6
620|2
181|1
923|7
614|9
898|0
515|8
95|1
675|7
923|2
552|9
918|0
664|10
534|6
379|6
714|0
439|8
960|3
808|7
358|6
823|9
100|9
137|6
488|4
931|3
290|1
897|9
418|8
193|4
726|0
591|0
120|8
7|8
670|6
704|3
418|5
109|5
436|2
599|10
267|4
433|8
374|9
282|9
406|10
423|3
802|8
494|8
379|2
568|8
259|7
591|4
792|5
753|6
875|2
121|10
457|3
102|2
520|3
804|6
820|5
628|8
723|10
164|0
987|6
5|10
843|1
482|2
445|9
65|1
227|4
81|5
38|9
953|6
628|6
533|10
728|4
58|9
655|2
449|7
206|0
953|10
292|8
34|3
522|9
715|8
629|3
690|2
368|0
670|3
999|0
88|2
798|4
361|6
404|10
600|6
530|3
754|0
941|1
562|1
743|4
936|8
356|9
986|5
231|4
986|9
465|3
588|6
267|0
416|2
109|8
74|8
301|8
969|5
822|1
979|8
897|4
832|8
256|9
989|7
576|6
788|7
775|3
984|5
697|7
918|7
882|9
493|0
264|1
391|1
807|10
693|3
819|3
422|5
528|5
9|8
254|4
95|4
689|6
77|5
953|8
487|2
362|5
915|3
275|9
969|2
952|10
510|3
240|3
893|3
211|4
207|3
856|3
364|9
797|2
122|1
692|1
504|10
6|9
980|8
868|0
380|7
322|9
919|7
889|9
502|4
782|2
286|8
227|6
131|9
538|0
489|6
33|8
355|8
881|6
794|10
468|2
715|1
471|8
705|5
12|0
215|10
594|6
333|1
627|5
191|4
269|8
275|3
981|7
351|9
188|5
434|7
429|3
373|5
286|6
184|7
134|9
702|9
833|3
738|1
823|4
568|3
876|6
200|6
819|2
484|2
180|0
511|6
914|2
529|10
737|8
804|5
307|7
575|4
48|9
101|6
61|2
833|3
487|4
98|10
762|7
266|5
368|5
570|8
352|4
421|0
359|1
986|10
203|9
589|9
664|10
178|8
363|4
689|5
499|8
910|7
390|1
293|9
646|7
889|2
655|2
431|5
627|10
414|9
81|1
351|2
321|3
668|5
727|4
619|4
404|10
908|4
799|7
765|5
533|9
423|7
188|2
128|0
677|3
963|4
215|1
406|2
97|1
959|1
561|7
26|0
536|6
106|1
632|4
86|2
953|10
316|6
253|3
453|4
129|10
539|2
29|2
679|0
881|5
884|5
